Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,10/12/2015,116.040001,116.940002,115.510002,114.225026,29212700
AAPL,09/12/2015,117.639999,117.690002,115.080002,113.684239,46361400
AAPL,08/12/2015,117.519997,118.599998,116.860001,116.250541,34309500
AAPL,07/12/2015,118.980003,119.860001,117.809998,116.2997,32084200
AAPL,04/12/2015,115.290001,119.25,115.110001,117.037143,57777000
AAPL,03/12/2015,116.550003,116.790001,114.220001,113.271265,41569500
AAPL,02/12/2015,117.339996,118.110001,116.080002,114.333185,33386600
AAPL,01/12/2015,118.75,118.809998,116.860001,115.375435,34852400
AAPL,30/11/2015,117.989998,119.410004,117.75,116.319369,39180300
AAPL,27/11/2015,118.290001,118.410004,117.599998,115.837567,13046400
AAPL,25/11/2015,119.209999,119.230003,117.919998,116.053885,21388300
AAPL,24/11/2015,117.330002,119.349998,117.120003,116.889653,42803200
AAPL,23/11/2015,119.269997,119.730003,117.339996,115.778574,32482500
AAPL,20/11/2015,119.199997,119.919998,118.849998,117.302627,34287100
AAPL,19/11/2015,117.639999,119.75,116.760002,116.791328,43295800
AAPL,18/11/2015,115.760002,117.489998,115.5,115.326277,46674700
AAPL,17/11/2015,114.919998,115.050003,113.32,111.786551,27616900
AAPL,16/11/2015,111.379997,114.239998,111.0,112.268345,38106700
AAPL,13/11/2015,115.199997,115.57,112.269997,110.459148,45812400
AAPL,12/11/2015,116.260002,116.82,115.650002,113.782563,32525600
AAPL,11/11/2015,116.370003,117.419998,115.209999,114.166033,45218000
AAPL,10/11/2015,116.900002,118.07,116.059998,114.814979,59127900
AAPL,09/11/2015,120.959999,121.809998,120.050003,118.55136,33871400
AAPL,06/11/2015,121.110001,121.809998,120.620003,119.033154,33042300
AAPL,05/11/2015,121.849998,122.690002,120.18,118.895499,39552700
AAPL,04/11/2015,123.129997,123.82,121.620003,119.446126,44886100
AAPL,03/11/2015,120.790001,123.489998,120.699997,120.004194,45519000
AAPL,02/11/2015,120.800003,121.360001,119.610001,118.643292,32203300
AAPL,30/10/2015,120.989998,121.220001,119.449997,116.99846,49365300
AAPL,29/10/2015,118.699997,120.690002,118.269997,118.006897,51227300
AAPL,28/10/2015,116.93,119.300003,116.059998,116.773271,85551400
AAPL,27/10/2015,115.400002,116.540001,113.989998,112.152083,69884400
AAPL,26/10/2015,118.080002,118.129997,114.919998,112.866798,66333800
AAPL,23/10/2015,116.699997,119.230003,116.330002,116.587254,59366900
AAPL,22/10/2015,114.330002,115.5,114.099998,113.082193,41654100
AAPL,21/10/2015,114.0,115.580002,113.699997,111.37862,41795200
AAPL,20/10/2015,111.339996,114.169998,110.82,111.388405,48967800
AAPL,19/10/2015,110.800003,111.75,110.110001,109.391116,29759200
AAPL,16/10/2015,111.779999,112.0,110.529999,108.715557,38236300
AAPL,15/10/2015,110.93,112.099998,110.489998,109.518392,37673500
AAPL,14/10/2015,111.290001,111.519997,109.559998,107.90293,44462400
AAPL,13/10/2015,110.82,112.449997,110.68,109.449857,33049300
AAPL,12/10/2015,112.730003,112.75,111.440002,109.263832,30467200
AAPL,09/10/2015,110.0,112.279999,109.489998,109.772951,52766100
AAPL,08/10/2015,110.190002,110.190002,108.209999,107.207794,61979600
AAPL,07/10/2015,111.739998,111.769997,109.410004,108.460998,46765600
AAPL,06/10/2015,110.629997,111.739998,109.769997,108.979902,48857000
AAPL,05/10/2015,109.879997,111.370003,109.07,108.460998,52064700
AAPL,02/10/2015,108.010002,111.010002,107.550003,108.06937,58019800
AAPL,01/10/2015,109.07,109.620003,107.309998,107.286121,63929100
AAPL,30/09/2015,110.169998,111.540001,108.730003,107.99105,66473000
AAPL,29/09/2015,112.830002,113.510002,107.860001,106.777002,73365400
AAPL,28/09/2015,113.849998,114.57,112.440002,110.086252,52109000
AAPL,25/09/2015,116.440002,116.690002,114.019997,112.30873,56151900
AAPL,24/09/2015,113.25,115.5,112.370003,112.59266,50219500
AAPL,23/09/2015,113.629997,114.720001,113.300003,111.926895,35756700
AAPL,22/09/2015,113.379997,114.18,112.519997,111.026155,50346200
AAPL,21/09/2015,113.669998,115.370003,113.660004,112.798263,50222000
AAPL,18/09/2015,112.209999,114.300003,111.870003,111.075104,74285300
AAPL,17/09/2015,115.660004,116.489998,113.720001,111.535266,64112600
AAPL,16/09/2015,116.25,116.540001,115.440002,113.973148,37173500
AAPL,15/09/2015,115.93,116.529999,114.419998,113.845864,43341200
AAPL,14/09/2015,116.580002,116.889999,114.860001,112.896168,58363400
AAPL,11/09/2015,111.790001,114.209999,111.760002,111.819197,49915500
AAPL,10/09/2015,110.269997,113.279999,109.900002,110.213528,62892800
AAPL,09/09/2015,113.760002,114.019997,109.769997,107.844189,85010800
AAPL,08/09/2015,111.75,112.559998,110.32,109.958969,54843600
AAPL,04/09/2015,108.970001,110.449997,108.510002,106.982605,49996300
AAPL,03/09/2015,112.489998,112.779999,110.040001,108.059584,53233900
AAPL,02/09/2015,110.230003,112.339996,109.129997,109.988339,61888800
AAPL,01/09/2015,110.150002,111.879997,107.360001,105.465056,76845900
AAPL,31/08/2015,112.029999,114.529999,112.0,110.399553,56229300
AAPL,28/08/2015,112.169998,113.309998,111.540001,110.918457,53164400
AAPL,27/08/2015,112.230003,113.239998,110.019997,110.5562,84616100
AAPL,26/08/2015,107.089996,109.889999,105.050003,107.393819,96774600
AAPL,25/08/2015,111.110001,111.110001,103.5,101.568368,103601600
AAPL,24/08/2015,94.870003,108.800003,92.0,100.961352,162206300
AAPL,21/08/2015,110.43,111.900002,105.650002,103.546087,128275500
AAPL,20/08/2015,114.080002,114.349998,111.629997,110.291855,68501600
AAPL,19/08/2015,116.099998,116.519997,114.68,112.602453,47445700
AAPL,18/08/2015,116.43,117.440002,116.010002,114.06126,34560700
AAPL,17/08/2015,116.040001,117.650002,115.5,114.707448,40884700
AAPL,14/08/2015,114.32,116.309998,114.010002,113.532563,42929500
AAPL,13/08/2015,116.040001,116.400002,114.540001,112.739522,48535800
AAPL,12/08/2015,112.529999,115.419998,109.629997,112.827634,101217500
AAPL,11/08/2015,117.809998,118.18,113.330002,111.114268,97082800
AAPL,10/08/2015,116.529999,119.989998,116.529999,117.213856,54951600
AAPL,07/08/2015,114.580002,116.25,114.5,113.101772,38670400
AAPL,06/08/2015,115.970001,116.5,114.120003,112.719936,52903000
AAPL,05/08/2015,112.949997,117.440002,112.099998,112.475172,99312600
AAPL,04/08/2015,117.419998,117.699997,113.25,111.734432,124138600
AAPL,03/08/2015,121.5,122.57,117.519997,115.438123,69976000
AAPL,31/07/2015,122.599998,122.639999,120.910004,118.225637,42885000
AAPL,30/07/2015,122.32,122.57,121.709999,119.268517,33628300
AAPL,29/07/2015,123.150002,123.5,122.269997,119.872798,37011700
AAPL,28/07/2015,123.379997,123.910004,122.550003,120.252913,33618100
AAPL,27/07/2015,123.089996,123.610001,122.120003,119.658373,44455500
AAPL,24/07/2015,125.32,125.739998,123.900002,121.344529,42162300
AAPL,23/07/2015,126.199997,127.089996,125.059998,121.987805,50999500
AAPL,22/07/2015,121.989998,125.5,121.989998,122.046282,115450600
AAPL,21/07/2015,132.850006,132.919998,130.320007,127.436122,76756400
AAPL,20/07/2015,130.970001,132.970001,130.699997,128.722674,58900200
AAPL,17/07/2015,129.080002,129.619995,128.309998,126.334757,46164700
AAPL,16/07/2015,127.739998,128.570007,127.349998,125.25289,36222400
AAPL,15/07/2015,125.720001,127.150002,125.580002,123.605728,33649200
AAPL,14/07/2015,126.040001,126.370003,125.040001,122.426397,31768100
AAPL,13/07/2015,125.029999,125.760002,124.32,122.475132,41440500
AAPL,10/07/2015,121.940002,123.849998,121.209999,120.155449,61354500
AAPL,09/07/2015,123.849998,124.059998,119.220001,117.026808,77821600
AAPL,08/07/2015,124.480003,124.639999,122.540001,119.463445,60761600
AAPL,07/07/2015,125.889999,126.150002,123.769997,122.504371,46946800
AAPL,06/07/2015,124.940002,126.230003,124.849998,122.806512,28060400
AAPL,02/07/2015,126.43,126.690002,125.769997,123.235362,27211000
AAPL,01/07/2015,126.900002,126.940002,125.989998,123.391303,30238800
AAPL,30/06/2015,125.57,126.120003,124.860001,122.250959,44370700
AAPL,29/06/2015,125.459999,126.470001,124.480003,121.373768,49161400
AAPL,26/06/2015,127.669998,127.989998,126.510002,123.537503,44066800
AAPL,25/06/2015,128.860001,129.199997,127.5,124.268494,31938100
AAPL,24/06/2015,127.209999,129.800003,127.120003,124.863034,55280900
AAPL,23/06/2015,127.480003,127.610001,126.879997,123.810405,30268900
AAPL,22/06/2015,127.489998,128.059998,127.080002,124.375706,34039300
AAPL,19/06/2015,127.709999,127.82,126.400002,123.391303,54716900
AAPL,18/06/2015,127.230003,128.309998,127.220001,124.63886,35407200
AAPL,17/06/2015,127.720001,127.879997,126.739998,124.073566,32918100
AAPL,16/06/2015,127.029999,127.849998,126.370003,124.365958,31494100
AAPL,15/06/2015,126.099998,127.239998,125.709999,123.703192,43988900
AAPL,12/06/2015,128.190002,128.330002,127.110001,123.946856,36886200
AAPL,11/06/2015,129.179993,130.179993,128.479996,125.330864,35390900
AAPL,10/06/2015,127.919998,129.339996,127.849998,125.613522,39087300
AAPL,09/06/2015,126.699997,128.080002,125.620003,124.19052,56075400
AAPL,08/06/2015,128.899994,129.210007,126.830002,124.560893,52674800
AAPL,05/06/2015,129.5,129.690002,128.360001,125.389341,35626800
AAPL,04/06/2015,129.580002,130.580002,128.910004,126.081352,38450100
AAPL,03/06/2015,130.660004,130.940002,129.899994,126.822085,30889400
AAPL,02/06/2015,129.860001,130.660004,129.320007,126.666151,33667600
AAPL,01/06/2015,130.279999,131.389999,130.050003,127.231438,32112800
AAPL,29/05/2015,131.229996,131.449997,129.899994,126.978033,50884500
AAPL,28/05/2015,131.860001,131.949997,131.100006,128.440015,30733300
AAPL,27/05/2015,130.339996,132.259995,130.050003,128.69342,45833200
AAPL,26/05/2015,132.600006,132.910004,129.119995,126.334757,70697600
AAPL,22/05/2015,131.600006,132.970001,131.399994,129.180748,45596000
AAPL,21/05/2015,130.070007,131.630005,129.830002,128.059901,39730400
AAPL,20/05/2015,130.0,130.979996,129.339996,126.763608,36454900
AAPL,19/05/2015,130.690002,130.880005,129.639999,126.773364,44633200
AAPL,18/05/2015,128.380005,130.720001,128.360001,126.890318,50882900
AAPL,15/05/2015,129.070007,129.490005,128.210007,125.50631,38208000
AAPL,14/05/2015,127.410004,128.949997,127.160004,125.68174,45203500
AAPL,13/05/2015,126.150002,127.190002,125.870003,122.81626,34694200
AAPL,12/05/2015,125.599998,126.879997,124.82,122.679809,48160000
AAPL,11/05/2015,127.389999,127.559998,125.629997,123.118401,42035800
AAPL,08/05/2015,126.68,127.620003,126.110001,124.385455,55550400
AAPL,07/05/2015,124.769997,126.080002,124.019997,122.085269,43940900
AAPL,06/05/2015,126.559998,126.75,123.360001,121.334791,72141000
AAPL,05/05/2015,128.149994,128.449997,125.779999,122.101567,49271400
AAPL,04/05/2015,129.5,130.570007,128.259995,124.916303,50988300
AAPL,01/05/2015,126.099998,130.130005,125.300003,125.158953,58512600
AAPL,30/04/2015,128.639999,128.639999,124.580002,121.470675,83195400
AAPL,29/04/2015,130.160004,131.589996,128.300003,124.858069,63386100
AAPL,28/04/2015,134.460007,134.539993,129.570007,126.72162,118924000
AAPL,27/04/2015,132.309998,133.130005,131.149994,128.750172,96954200
AAPL,24/04/2015,130.490005,130.630005,129.229996,126.449853,44525900
AAPL,23/04/2015,128.300003,130.419998,128.139999,125.857786,45770900
AAPL,22/04/2015,126.989998,128.869995,126.32,124.838653,37654500
AAPL,21/04/2015,128.100006,128.199997,126.669998,123.178934,32435100
AAPL,20/04/2015,125.57,128.119995,125.169998,123.848643,47054300
AAPL,17/04/2015,125.550003,126.139999,124.459999,121.082433,51957000
